YHOO
AAPL
ABT
ANF
ADBE
AMD
AES
AET
AFL
A
APD
ARG
AKS
AKAM
AA
ATI
AGN
ALL
ALTR
MO
AMZN
AEE
AEP
AXP
AIG
AMT
AMP
ABC
AMGN
APH
APC
ADI
AON
APA
AIV
APOL
AMAT
ADM
AIZ
T
ADSK
ADP
AN
AZO
AVB
AVY
AVP
BHI
BLL
BAC
BK
BCR
BAX
BBT
BDX
BBBY
BMS
BRK-B
BBY
BIG
BIIB
HRB
BMC
BA
BXP
BSX
BMY
BRCM
BF-B
CHRW
CA
COG
CAM
CPB
COF
CAH
CFN
KMX
CCL
CAT
CBG
CBS
CELG
CNP
CTL
CEPH
CERN
CF
SCHW
CHK
CVX
CB
CI
CINF
CTAS
CSCO
C
CTXS
CLF
CLX
CME
CMS
COH
KO
CCE
CTSH
CL
CMCSA
CMA
CSC
CPWR
CAG
COP
CNX
ED
STZ
CEG
GLW
COST
CVH
CSX
CMI
CVS
DHI
DHR
DRI
DVA
DF
DE
DELL
DNR
XRAY
DVN
DV
DO
DTV
DFS
DISCA
D
RRD
DOV
DOW
DPS
DTE
DD
DUK
DNB
ETFC
EMN
EK
ETN
EBAY
ECL
EIX
EP
ERTS
EMC
EMR
ETR
EOG
EQT
EFX
EQR
EL
EXC
EXPE
EXPD
ESRX
XOM
FDO
FAST
FII
FDX
FIS
FITB
FHN
FSLR
FE
FISV
FLIR
FLS
FLR
FMC
FTI
F
FRX
FO
BEN
FCX
FTR
GME
GCI
GPS
GD
GE
GIS
GPC
GNW
GENZ
GILD
GS
GR
GT
GOOG
GWW
HAL
HOG
HAR
HRS
HIG
HAS
HCP
HCN
HNZ
HP
HES
HPQ
HD
HON
HRL
HSP
HST
HCBK
HUM
HBAN
ITW
TEG
INTC
ICE
IBM
IFF
IGT
IP
IPG
INTU
ISRG
IVZ
IRM
ITT
JBL
JEC
JNS
JDSU
JNJ
JCI
JPM
JNPR
K
KEY
KMB
KIM
KLAC
KSS
KFT
KR
LLL
LH
LM
LEG
LEN
LUK
LXK
LIFE
LLY
